season,identifier,position,rule_type,unit_size,points,min_value,verified,note
2016-17,minutes,1,threshold,1,1,1,True,appearance
2016-17,minutes,2,threshold,1,1,1,True,appearance
2016-17,minutes,3,threshold,1,1,1,True,appearance
2016-17,minutes,4,threshold,1,1,1,True,appearance
2016-17,minutes,1,threshold,1,2,60,True,60+ minutes
2016-17,minutes,2,threshold,1,2,60,True,60+ minutes
2016-17,minutes,3,threshold,1,2,60,True,60+ minutes
2016-17,minutes,4,threshold,1,2,60,True,60+ minutes
2016-17,goals_scored,1,per_unit,1,6,1,True,"confirmed by the single observed GK goal, 2020-21"
2016-17,goals_scored,2,per_unit,1,6,1,True,
2016-17,goals_scored,3,per_unit,1,5,1,True,
2016-17,goals_scored,4,per_unit,1,4,1,True,
2016-17,clean_sheets,1,threshold,1,4,1,True,
2016-17,clean_sheets,2,threshold,1,4,1,True,
2016-17,clean_sheets,3,threshold,1,1,1,True,
2016-17,goals_conceded,1,per_unit,2,-1,2,True,-1 per 2 conceded
2016-17,goals_conceded,2,per_unit,2,-1,2,True,-1 per 2 conceded
2016-17,saves,1,per_unit,3,1,3,True,+1 per 3 saves
2016-17,penalties_saved,1,per_unit,1,5,1,True,
2016-17,assists,1,per_unit,1,3,1,True,
2016-17,assists,2,per_unit,1,3,1,True,
2016-17,assists,3,per_unit,1,3,1,True,
2016-17,assists,4,per_unit,1,3,1,True,
2016-17,penalties_missed,1,per_unit,1,-2,1,True,
2016-17,penalties_missed,2,per_unit,1,-2,1,True,
2016-17,penalties_missed,3,per_unit,1,-2,1,True,
2016-17,penalties_missed,4,per_unit,1,-2,1,True,
2016-17,own_goals,1,per_unit,1,-2,1,True,
2016-17,own_goals,2,per_unit,1,-2,1,True,
2016-17,own_goals,3,per_unit,1,-2,1,True,
2016-17,own_goals,4,per_unit,1,-2,1,True,
2016-17,yellow_cards,1,per_unit,1,-1,1,True,
2016-17,yellow_cards,2,per_unit,1,-1,1,True,
2016-17,yellow_cards,3,per_unit,1,-1,1,True,
2016-17,yellow_cards,4,per_unit,1,-1,1,True,
2016-17,red_cards,1,per_unit,1,-3,1,True,
2016-17,red_cards,2,per_unit,1,-3,1,True,
2016-17,red_cards,3,per_unit,1,-3,1,True,
2016-17,red_cards,4,per_unit,1,-3,1,True,
2016-17,bonus,1,passthrough,1,1,1,True,value is the points
2016-17,bonus,2,passthrough,1,1,1,True,value is the points
2016-17,bonus,3,passthrough,1,1,1,True,value is the points
2016-17,bonus,4,passthrough,1,1,1,True,value is the points
2017-18,minutes,1,threshold,1,1,1,True,appearance
2017-18,minutes,2,threshold,1,1,1,True,appearance
2017-18,minutes,3,threshold,1,1,1,True,appearance
2017-18,minutes,4,threshold,1,1,1,True,appearance
2017-18,minutes,1,threshold,1,2,60,True,60+ minutes
2017-18,minutes,2,threshold,1,2,60,True,60+ minutes
2017-18,minutes,3,threshold,1,2,60,True,60+ minutes
2017-18,minutes,4,threshold,1,2,60,True,60+ minutes
2017-18,goals_scored,1,per_unit,1,6,1,True,"confirmed by the single observed GK goal, 2020-21"
2017-18,goals_scored,2,per_unit,1,6,1,True,
2017-18,goals_scored,3,per_unit,1,5,1,True,
2017-18,goals_scored,4,per_unit,1,4,1,True,
2017-18,clean_sheets,1,threshold,1,4,1,True,
2017-18,clean_sheets,2,threshold,1,4,1,True,
2017-18,clean_sheets,3,threshold,1,1,1,True,
2017-18,goals_conceded,1,per_unit,2,-1,2,True,-1 per 2 conceded
2017-18,goals_conceded,2,per_unit,2,-1,2,True,-1 per 2 conceded
2017-18,saves,1,per_unit,3,1,3,True,+1 per 3 saves
2017-18,penalties_saved,1,per_unit,1,5,1,True,
2017-18,assists,1,per_unit,1,3,1,True,
2017-18,assists,2,per_unit,1,3,1,True,
2017-18,assists,3,per_unit,1,3,1,True,
2017-18,assists,4,per_unit,1,3,1,True,
2017-18,penalties_missed,1,per_unit,1,-2,1,True,
2017-18,penalties_missed,2,per_unit,1,-2,1,True,
2017-18,penalties_missed,3,per_unit,1,-2,1,True,
2017-18,penalties_missed,4,per_unit,1,-2,1,True,
2017-18,own_goals,1,per_unit,1,-2,1,True,
2017-18,own_goals,2,per_unit,1,-2,1,True,
2017-18,own_goals,3,per_unit,1,-2,1,True,
2017-18,own_goals,4,per_unit,1,-2,1,True,
2017-18,yellow_cards,1,per_unit,1,-1,1,True,
2017-18,yellow_cards,2,per_unit,1,-1,1,True,
2017-18,yellow_cards,3,per_unit,1,-1,1,True,
2017-18,yellow_cards,4,per_unit,1,-1,1,True,
2017-18,red_cards,1,per_unit,1,-3,1,True,
2017-18,red_cards,2,per_unit,1,-3,1,True,
2017-18,red_cards,3,per_unit,1,-3,1,True,
2017-18,red_cards,4,per_unit,1,-3,1,True,
2017-18,bonus,1,passthrough,1,1,1,True,value is the points
2017-18,bonus,2,passthrough,1,1,1,True,value is the points
2017-18,bonus,3,passthrough,1,1,1,True,value is the points
2017-18,bonus,4,passthrough,1,1,1,True,value is the points
2018-19,minutes,1,threshold,1,1,1,True,appearance
2018-19,minutes,2,threshold,1,1,1,True,appearance
2018-19,minutes,3,threshold,1,1,1,True,appearance
2018-19,minutes,4,threshold,1,1,1,True,appearance
2018-19,minutes,1,threshold,1,2,60,True,60+ minutes
2018-19,minutes,2,threshold,1,2,60,True,60+ minutes
2018-19,minutes,3,threshold,1,2,60,True,60+ minutes
2018-19,minutes,4,threshold,1,2,60,True,60+ minutes
2018-19,goals_scored,1,per_unit,1,6,1,True,"confirmed by the single observed GK goal, 2020-21"
2018-19,goals_scored,2,per_unit,1,6,1,True,
2018-19,goals_scored,3,per_unit,1,5,1,True,
2018-19,goals_scored,4,per_unit,1,4,1,True,
2018-19,clean_sheets,1,threshold,1,4,1,True,
2018-19,clean_sheets,2,threshold,1,4,1,True,
2018-19,clean_sheets,3,threshold,1,1,1,True,
2018-19,goals_conceded,1,per_unit,2,-1,2,True,-1 per 2 conceded
2018-19,goals_conceded,2,per_unit,2,-1,2,True,-1 per 2 conceded
2018-19,saves,1,per_unit,3,1,3,True,+1 per 3 saves
2018-19,penalties_saved,1,per_unit,1,5,1,True,
2018-19,assists,1,per_unit,1,3,1,True,
2018-19,assists,2,per_unit,1,3,1,True,
2018-19,assists,3,per_unit,1,3,1,True,
2018-19,assists,4,per_unit,1,3,1,True,
2018-19,penalties_missed,1,per_unit,1,-2,1,True,
2018-19,penalties_missed,2,per_unit,1,-2,1,True,
2018-19,penalties_missed,3,per_unit,1,-2,1,True,
2018-19,penalties_missed,4,per_unit,1,-2,1,True,
2018-19,own_goals,1,per_unit,1,-2,1,True,
2018-19,own_goals,2,per_unit,1,-2,1,True,
2018-19,own_goals,3,per_unit,1,-2,1,True,
2018-19,own_goals,4,per_unit,1,-2,1,True,
2018-19,yellow_cards,1,per_unit,1,-1,1,True,
2018-19,yellow_cards,2,per_unit,1,-1,1,True,
2018-19,yellow_cards,3,per_unit,1,-1,1,True,
2018-19,yellow_cards,4,per_unit,1,-1,1,True,
2018-19,red_cards,1,per_unit,1,-3,1,True,
2018-19,red_cards,2,per_unit,1,-3,1,True,
2018-19,red_cards,3,per_unit,1,-3,1,True,
