season,position,position_short,position_name,squad_count,min_playing,max_playing
2016-17,1,GKP,Goalkeeper,2,1,1
2016-17,2,DEF,Defender,5,3,5
2016-17,3,MID,Midfielder,5,2,5
2016-17,4,FWD,Forward,3,1,3
2017-18,1,GKP,Goalkeeper,2,1,1
2017-18,2,DEF,Defender,5,3,5
2017-18,3,MID,Midfielder,5,2,5
2017-18,4,FWD,Forward,3,1,3
2018-19,1,GKP,Goalkeeper,2,1,1
2018-19,2,DEF,Defender,5,3,5
2018-19,3,MID,Midfielder,5,2,5
2018-19,4,FWD,Forward,3,1,3
2019-20,1,GKP,Goalkeeper,2,1,1
2019-20,2,DEF,Defender,5,3,5
2019-20,3,MID,Midfielder,5,2,5
2019-20,4,FWD,Forward,3,1,3
2020-21,1,GKP,Goalkeeper,2,1,1
2020-21,2,DEF,Defender,5,3,5
2020-21,3,MID,Midfielder,5,2,5
2020-21,4,FWD,Forward,3,1,3
2021-22,1,GKP,Goalkeeper,2,1,1
2021-22,2,DEF,Defender,5,3,5
2021-22,3,MID,Midfielder,5,2,5
2021-22,4,FWD,Forward,3,1,3
2022-23,1,GKP,Goalkeeper,2,1,1
2022-23,2,DEF,Defender,5,3,5
2022-23,3,MID,Midfielder,5,2,5
2022-23,4,FWD,Forward,3,1,3
2023-24,1,GKP,Goalkeeper,2,1,1
2023-24,2,DEF,Defender,5,3,5
2023-24,3,MID,Midfielder,5,2,5
2023-24,4,FWD,Forward,3,1,3
2024-25,1,GKP,Goalkeeper,2,1,1
2024-25,2,DEF,Defender,5,3,5
2024-25,3,MID,Midfielder,5,2,5
2024-25,4,FWD,Forward,3,1,3
2025-26,1,GKP,Goalkeeper,2,1,1
2025-26,2,DEF,Defender,5,3,5
2025-26,3,MID,Midfielder,5,2,5
2025-26,4,FWD,Forward,3,1,3
