,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
71,430.0,Erling,Haaland,4,14.5,61.5,3,2.0,8.682420094517898
168,151.0,Jan Paul,van Hecke,2,4.6,12.4,2,2.0,8.462035552521673
498,237.0,Enzo,Fernández,3,6.5,13.1,4,2.0,7.71169146908515
197,783.0,Pascal,Groß,3,5.5,2.7,2,2.0,7.356491493719894
602,163.0,Jack,Hinshelwood,3,5.1,0.5,2,2.0,7.21939033877457
598,100.0,Junior,Kroupi,4,4.6,6.1,5,2.0,6.955732280498193
433,260.0,Marc,Guéhi,2,5.1,34.9,3,2.0,6.828938483352955
654,160.0,Yankuba,Minteh,3,5.5,3.0,2,2.0,6.447120682443713
104,169.0,Diego,Gómez Amarilla,3,4.9,1.3,2,2.0,6.441848586172243
770,82.0,Antoine,Semenyo,3,8.2,57.7,3,2.0,6.423722663113061
554,235.0,Cole,Palmer,3,10.5,21.6,4,2.0,6.371056320414917
147,691.0,Dominic,Calvert-Lewin,4,5.6,13.7,4,2.0,6.2373245565097095
553,230.0,Wesley,Fofana,2,4.4,0.5,4,2.0,5.961788955793977
601,148.0,Ferdi,Kadıoğlu,2,4.4,1.0,2,2.0,5.931667021439684
397,416.0,Bernardo,Mota Veiga de Carvalho e Silva,3,6.2,0.7,3,2.0,5.913517782084916
695,139.0,Bart,Verbruggen,1,4.5,10.5,2,2.0,5.860542411794989
605,200.0,Jaidon,Anthony,3,5.0,2.1,3,2.0,5.7878311651736345
432,249.0,João Pedro,Junqueira de Jesus,4,7.7,52.0,4,2.0,5.672442800965898
340,453.0,Alejandro,Garnacho Ferreyra,3,6.4,0.5,4,2.0,5.561289346564542
551,178.0,Danny,Welbeck,4,6.3,9.6,2,2.0,5.527693557426749
493,173.0,Mats,Wieffer,3,4.9,1.0,2,2.0,5.462456147345588
791,354.0,Ethan,Ampadu,3,4.9,0.7,4,2.0,5.4108620445017115
8,215.0,Zian,Flemming,4,5.3,0.4,3,2.0,5.323954602347855
777,217.0,Lyle,Foster,4,4.9,0.8,3,2.0,5.2460261029101485
486,84.0,Marcus,Tavernier,3,5.4,7.0,5,2.0,5.2194933187183095
656,187.0,Kyle,Walker,2,4.4,1.2,3,2.0,5.203508077629899
65,341.0,Karl,Darlow,1,3.9,7.4,4,2.0,5.195333944528211
632,660.0,Anton,Stach,3,4.8,1.8,4,2.0,5.16376579957194
86,614.0,James,Ward-Prowse,3,5.6,0.2,3,2.0,5.155082916027113
667,409.0,John,Stones,2,5.4,0.6,3,2.0,5.082411932281366
742,348.0,Joe,Rodon,2,3.9,3.0,4,2.0,5.026055891439908
444,418.0,Jérémy,Doku,3,6.4,2.6,3,2.0,5.003850740230925
513,414.0,Phil,Foden,3,8.0,7.9,3,2.0,4.996489357603967
155,736.0,Gianluigi,Donnarumma,1,5.6,9.5,3,2.0,4.927707094678438
236,403.0,Joško,Gvardiol,2,5.8,3.2,3,2.0,4.913220335326663
686,794.0,Max,Alleyne,2,3.9,0.0,3,2.0,4.892165764734
107,225.0,Reece,James,2,5.6,6.4,4,2.0,4.889172806673997
396,413.0,Omar,Marmoush,3,8.3,2.5,3,2.0,4.884402903988671
237,417.0,Rayan,Cherki,3,6.4,10.7,3,2.0,4.8575791045473125
70,427.0,Tijjani,Reijnders,3,5.0,9.2,3,2.0,4.793081020811226
590,807.0,Rayan Vitor,Simplício Rocha,3,5.5,1.9,5,2.0,4.791746246334375
549,146.0,Lewis,Dunk,2,4.5,0.9,2,2.0,4.755979675155852
421,90.0,Alex,Scott,3,5.0,4.2,5,2.0,4.746578389159995
666,407.0,Matheus,Nunes,2,5.3,3.2,3,2.0,4.744193314068617
387,207.0,Hannibal,Mejbri,3,4.7,0.1,3,2.0,4.698131764393977
319,72.0,Marcos,Senesi Barón,2,5.2,24.9,5,2.0,4.680523888871646
709,449.0,Bruno,Borges Fernandes,3,10.3,43.0,2,1.0,4.662519917504108
206,74.0,Adrien,Truffert,2,4.7,5.4,5,2.0,4.634055552421486
120,344.0,Jaka,Bijol,2,3.9,1.6,4,2.0,4.6327053392251285
324,167.0,Carlos,Baleba,3,4.5,1.5,2,2.0,4.622651165561317
380,67.0,Đorđe,Petrović,1,4.6,6.2,5,2.0,4.59924478820269
420,77.0,James,Hill,2,4.2,9.4,5,2.0,4.576360089086472
230,343.0,Pascal,Struijk,2,4.3,4.1,4,2.0,4.541672195150175
169,158.0,Georginio,Rutter,3,5.6,0.3,2,2.0,4.492150782928212
705,411.0,Nico,O'Reilly,2,5.1,14.5,3,2.0,4.4909465986619095
48,87.0,Ryan,Christie,3,4.9,0.2,5,2.0,4.474376794281181
428,170.0,James,Milner,3,4.9,0.1,2,2.0,4.461903747116768
129,450.0,Matheus,Santos Carneiro da Cunha,3,8.0,7.9,2,1.0,4.458037692815271
53,143.0,Olivier,Boscagli,2,4.2,0.2,2,2.0,4.437105690715411
464,706.0,James,Justin,2,3.9,1.4,4,2.0,4.393490544866606
438,365.0,Lukas,Nmecha,4,5.0,0.6,4,2.0,4.364320443260027
781,257.0,Maxence,Lacroix,2,5.1,4.8,3,1.0,4.328143910171827
250,603.0,El Hadji Malick,Diouf,2,4.1,2.3,1,1.0,4.293786284168285
105,191.0,Maxime,Estève,2,3.9,7.4,3,2.0,4.291559557658118
235,402.0,Rayan,Aït-Nouri,2,5.7,4.3,3,2.0,4.279947648571862
616,303.0,James,Garner,3,5.3,4.0,3,1.0,4.26569325408361
242,470.0,Martin,Dúbravka,1,4.0,28.5,3,2.0,4.26269030290266
790,342.0,Jayden,Bogle,2,4.4,1.3,4,2.0,4.242919105436454
701,283.0,Jean-Philippe,Mateta,4,7.5,7.1,3,1.0,4.23972666335532
638,713.0,Álex,Jiménez Sánchez,2,4.5,0.3,5,2.0,4.23622657932566
214,166.0,Yasin,Ayari,3,4.8,0.5,2,2.0,4.211878407941561
336,423.0,Nico,González Iglesias,3,5.9,0.1,3,2.0,4.2058331519938585
329,241.0,Moisés,Caicedo Corozo,3,5.7,7.5,4,2.0,4.1949600875203865
106,209.0,Josh,Laurent,3,4.8,0.0,3,2.0,4.177603167316734
732,97.0,Francisco Evanilson,de Lima Barbosa,4,6.7,3.1,5,2.0,4.160208053497943
809,624.0,Jarrod,Bowen,4,7.6,9.6,1,1.0,4.155287275426894
33,708.0,Mateus Gonçalo,Espanha Fernandes,3,5.5,0.4,1,1.0,4.143301626465864
385,192.0,Quilindschy,Hartman,2,4.0,0.6,3,2.0,4.120250368446144
59,221.0,Filip,Jörgensen,1,4.3,0.2,4,2.0,4.108031240614663
47,81.0,Justin,Kluivert,3,6.9,0.6,5,2.0,4.084486153361784
726,5.0,Gabriel,dos Santos Magalhães,2,7.1,40.1,3,1.0,4.067799899945927
658,226.0,Trevoh,Chalobah,2,5.4,10.1,4,2.0,4.049817680985896
461,672.0,Jorrel,Hato,2,4.6,0.2,4,2.0,4.044808036862286
386,193.0,Bashir,Humphreys,2,3.9,0.1,3,2.0,4.007343597707573
389,261.0,Chris,Richards,2,4.4,2.3,3,1.0,4.0054214006483075
291,410.0,Rico,Lewis,2,4.6,1.2,3,2.0,3.9988874432540293
9,250.0,Liam,Delap,4,6.2,0.9,4,2.0,3.998526473992655
122,350.0,Brenden,Aaronson,3,5.4,1.7,4,2.0,3.9947419225594167
431,224.0,Marc,Cucurella Saseta,2,6.0,16.5,4,2.0,3.962523154811147
52,136.0,Igor Thiago,Nascimento Rodrigues,4,7.3,32.3,3,1.0,3.9524111307672056
487,86.0,David,Brooks,3,5.0,0.2,5,2.0,3.9321266880893937
468,749.0,Mateus,Mané,4,4.3,1.2,2,1.0,3.886923033457726
806,596.0,Dominic,Solanke-Mitchell,4,7.2,1.1,3,1.0,3.8816427019512583
610,228.0,Malo,Gusto,2,4.9,2.2,4,2.0,3.85327375823274
522,532.0,Trai,Hume,2,4.5,0.3,2,1.0,3.843183526828048
283,244.0,Roméo,Lavia,3,4.9,0.0,4,2.0,3.8385597990414686
793,387.0,Dominik,Szoboszlai,3,7.1,12.2,3,1.0,3.833575856286132
700,240.0,Christopher,Nkunku,3,5.9,0.1,4,2.0,3.8224575683073576
659,252.0,Marc,Guiu Paz,4,4.0,5.0,4,2.0,3.8224575683073576
262,789.0,Max,Merrick,1,4.0,0.0,4,2.0,3.8224575683073576
499,251.0,Nicolas,Jackson,4,6.5,0.1,4,2.0,3.8224575683073576
699,222.0,Mike,Penders,1,4.0,0.0,4,2.0,3.8224575683073576
108,234.0,Aarón,Anselmino,2,4.0,0.1,4,2.0,3.8224575683073576
174,247.0,Dário,Luís Essugo,3,4.3,0.1,4,2.0,3.8224575683073576
370,803.0,Teddy,Sharman-Lowe,1,4.0,0.0,4,2.0,3.8224575683073576
60,238.0,Estêvão,Almeida de Oliveira Gonçalves,3,6.4,1.9,4,2.0,3.8224575683073576
817,743.0,Landon,Emenalo,3,4.5,0.0,4,2.0,3.8224575683073576
284,248.0,Kendry,Páez Andrade,3,4.5,0.0,4,2.0,3.8224575683073576
779,229.0,Benoît,Badiashile Mukinayi,2,4.4,0.0,4,2.0,3.8224575683073576
778,223.0,Gabriel,Słonina,1,3.9,0.1,4,2.0,3.8224575683073576
220,233.0,Josh,Acheampong,2,3.7,1.7,4,2.0,3.8224575683073576
221,239.0,Jamie,Bynoe-Gittens,3,6.0,0.1,4,2.0,3.8224575683073576
609,227.0,Levi,Samuels Colwill,2,4.7,0.1,4,2.0,3.8224575683073576
223,245.0,Mykhailo,Mudryk,3,4.9,0.0,4,2.0,3.8224575683073576
219,214.0,Mike,Trésor Ndayishimiye,3,4.3,0.1,3,2.0,3.8065485279912203
736,197.0,Oliver,Sonne,2,3.8,0.2,3,2.0,3.8065485279912203
218,211.0,Aaron,Ramsey,3,4.4,1.4,3,2.0,3.8065485279912203
217,183.0,Max,Weiß,1,4.2,0.1,3,2.0,3.8065485279912203
170,185.0,Václav,Hladký,1,3.9,0.2,3,2.0,3.8065485279912203
697,189.0,Owen,Dodgson,2,4.0,0.0,3,2.0,3.8065485279912203
724,820.0,Kian,McMahon-Brown,3,4.5,0.0,3,2.0,3.8065485279912203
171,186.0,Connor,Roberts,2,4.3,0.0,3,2.0,3.8065485279912203
657,203.0,Enock,Agyei,3,4.7,0.0,3,2.0,3.8065485279912203
417,784.0,George,Brierley,3,4.5,0.0,3,2.0,3.8065485279912203
430,213.0,Jaydon,Banel,3,4.5,0.0,3,2.0,3.8065485279912203
327,196.0,Shurandy,Sambo,2,4.0,0.0,3,2.0,3.8065485279912203
325,188.0,Hannes,Delcroix,2,3.8,0.2,3,2.0,3.8065485279912203
412,680.0,Armando,Broja,4,5.2,0.2,3,2.0,3.8065485279912203
173,219.0,Michael,Obafemi,4,4.4,0.1,3,2.0,3.8065485279912203
776,198.0,Axel,Tuanzebe,2,3.9,0.9,3,2.0,3.8065485279912203
606,201.0,Manuel,Benson Hedilazio,3,5.4,0.0,3,2.0,3.8065485279912203
328,205.0,Josh,Cullen,3,4.9,0.8,3,2.0,3.8065485279912203
552,184.0,Etienne,Green,1,4.0,0.2,3,2.0,3.8065485279912203
384,190.0,Hjalmar,Ekdal,2,3.8,0.7,3,2.0,3.8065485279912203
539,776.0,Oliver,Pimlott,3,4.5,0.0,3,2.0,3.8065485279912203
282,208.0,Luca,Koleosho,3,5.0,0.0,3,2.0,3.8065485279912203
281,204.0,Darko,Churlinov,3,4.9,0.0,3,2.0,3.8065485279912203
58,216.0,Zeki,Amdouni,4,4.8,0.0,3,2.0,3.8065485279912203
7,212.0,Oluwaseun,Adewumi,3,4.5,0.0,3,2.0,3.8065485279912203
57,194.0,Jordan,Beyer,2,3.9,0.1,3,2.0,3.8065485279912203
608,220.0,Robert,Lynch Sánchez,1,4.8,12.4,4,2.0,3.7931107009784477
42,26.0,Martín,Zubimendi Ibáñez,3,5.0,3.1,3,1.0,3.792998610608939
264,799.0,Charlie,Stevens,3,4.5,0.0,5,2.0,3.785678069510757
437,339.0,Illan,Meslier,1,4.1,0.3,4,2.0,3.785678069510757
548,80.0,Julio,Soler Barreto,2,3.9,0.2,5,2.0,3.785678069510757
547,79.0,Chris,Mepham,2,4.0,0.1,5,2.0,3.785678069510757
193,685.0,Bafodé,Diakité,2,4.1,0.3,5,2.0,3.785678069510757
442,391.0,Ben,Gannon-Doak,3,4.8,0.0,5,2.0,3.785678069510757
177,357.0,Largie,Ramazani,3,4.9,0.0,4,2.0,3.785678069510757
546,78.0,Julián,Araujo Zúñiga,2,3.8,0.5,5,2.0,3.785678069510757
463,687.0,Remy,Rees-Dottin,3,4.3,0.2,5,2.0,3.785678069510757
507,364.0,Mateo,Joseph Fernández-Regatillo,4,5.0,0.0,4,2.0,3.785678069510757
703,359.0,Charlie,Crew,3,4.5,0.0,4,2.0,3.785678069510757
597,96.0,Ben,Winterburn,3,4.5,0.0,5,2.0,3.785678069510757
561,346.0,Sam,Byram,2,3.7,0.3,4,2.0,3.785678069510757
562,349.0,Isaac,Schmidt,2,4.0,0.1,4,2.0,3.785678069510757
273,69.0,Callan,McKenna,1,3.9,0.2,5,2.0,3.785678069510757
274,70.0,Alex,Paulsen,1,4.0,0.1,5,2.0,3.785678069510757
275,99.0,Daniel,Adu-Adjei,4,4.4,0.1,5,2.0,3.785678069510757
649,88.0,Lewis,Cook,3,4.9,0.0,5,2.0,3.785678069510757
