,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
650,508.0,Neco,Williams,2,4.8,4.9,1,1.0,6.517067325147211
684,148.0,Ferdi,Kadıoğlu,2,4.4,0.6,2,1.0,5.064021352244849
733,344.0,Jaka,Bijol,2,3.9,0.9,1,1.0,4.867446727905458
760,691.0,Dominic,Calvert-Lewin,4,5.7,9.6,1,1.0,4.808558122667418
245,151.0,Jan Paul,van Hecke,2,4.6,7.6,2,1.0,4.660668458007722
679,59.0,Amadou,Onana,3,4.8,0.7,2,1.0,4.309405406849221
685,163.0,Jack,Hinshelwood,3,5.1,0.2,2,1.0,4.306637946125505
76,505.0,Nikola,Milenković,2,5.1,3.4,1,1.0,4.265749818880477
611,74.0,Adrien,Truffert,2,4.7,3.9,2,1.0,4.256865195224799
374,521.0,Ibrahim,Sangaré,3,4.9,0.1,1,1.0,4.208437928666537
119,160.0,Yankuba,Minteh,3,5.5,2.3,2,1.0,4.202776553228293
199,97.0,Francisco Evanilson,de Lima Barbosa,4,6.7,2.6,2,1.0,4.1820910309067365
660,517.0,Elliot,Anderson,3,5.6,7.3,1,1.0,4.16467071563289
373,507.0,Ola,Aina,2,4.7,2.4,1,1.0,4.151167424542714
288,84.0,Marcus,Tavernier,3,5.4,3.6,3,1.0,4.109708868322731
440,706.0,James,Justin,2,3.9,1.1,1,1.0,4.093471459448718
315,414.0,Phil,Foden,3,8.0,7.7,2,1.0,4.042515630577074
709,502.0,Matz,Sels,1,4.6,5.0,1,1.0,4.015458504100689
28,506.0,Murillo,Costa dos Santos,2,5.2,2.0,1,1.0,4.009861174639499
274,783.0,Pascal,Groß,3,5.5,1.0,3,1.0,3.925155036541259
641,403.0,Joško,Gvardiol,2,5.8,3.2,2,1.0,3.909880662629812
466,283.0,Jean-Philippe,Mateta,4,7.6,7.5,2,1.0,3.909620189397146
220,526.0,Igor Jesus,Maciel da Cruz,4,5.8,1.7,1,1.0,3.849135520764436
172,515.0,Morgan,Gibbs-White,3,7.5,9.8,1,1.0,3.8448759991622627
561,416.0,Bernardo,Mota Veiga de Carvalho e Silva,3,6.2,0.6,2,1.0,3.8331613146375965
399,110.0,Michael,Kayode,2,4.6,1.2,3,1.0,3.812523668785021
681,100.0,Junior,Kroupi,4,4.6,5.5,3,1.0,3.812334033127637
589,126.0,Mathias,Jensen,3,4.9,0.1,3,1.0,3.7990079846371856
79,516.0,Callum,Hudson-Odoi,3,5.7,0.7,1,1.0,3.794154842497976
20,311.0,Norberto Bercique,Gomes Betuncal,4,5.0,3.6,3,1.0,3.7789278521701344
565,544.0,Habib,Diarra,3,5.3,0.1,4,1.0,3.7250603370141238
809,596.0,Dominic,Solanke-Mitchell,4,7.2,2.7,3,1.0,3.7194347940346986
746,485.0,Anthony,Gordon,3,7.4,5.9,3,1.0,3.6840916176270464
64,267.0,Ismaïla,Sarr,3,6.3,3.8,2,1.0,3.67951300343638
603,730.0,Brian,Brobbey,4,5.3,1.3,4,1.0,3.641781174977866
185,683.0,Omar,Alderete,2,4.1,6.0,4,1.0,3.6360159393914073
129,317.0,Joachim,Andersen,2,4.5,4.7,3,1.0,3.600238068384682
397,90.0,Alex,Scott,3,5.1,2.4,3,1.0,3.5962197264777727
162,215.0,Zian,Flemming,4,5.3,0.3,3,1.0,3.589848298728058
784,257.0,Maxence,Lacroix,2,5.1,5.2,2,1.0,3.563169829624207
72,444.0,Leny,Yoro,2,4.1,1.3,3,1.0,3.554506609616189
381,633.0,Hugo,Bueno López,2,4.3,0.2,3,1.0,3.5520281633438833
356,256.0,Daniel,Muñoz Mejía,2,5.8,7.7,2,1.0,3.527277974820754
295,173.0,Mats,Wieffer,3,4.9,0.6,3,1.0,3.500159953752397
699,303.0,James,Garner,3,5.3,4.3,3,1.0,3.490552600814191
615,120.0,Kevin,Schade,3,7.0,1.7,3,1.0,3.4851504675826295
776,113.0,Sepp,van den Berg,2,4.6,1.3,3,1.0,3.47211066813628
790,299.0,Iliman,Ndiaye,3,6.2,5.0,3,1.0,3.4601842751005094
748,500.0,William,Osula,4,5.4,0.5,3,1.0,3.45665116682896
207,295.0,Michael,Keane,2,4.5,2.9,3,1.0,3.4529921209653933
423,457.0,Carlos Henrique,Casimiro,3,5.7,3.9,3,1.0,3.397251559704749
444,749.0,Mateus,Mané,4,4.3,1.8,3,1.0,3.3604486960516877
205,258.0,Tyrick,Mitchell,2,5.0,2.3,2,1.0,3.3502302365198076
794,354.0,Ethan,Ampadu,3,4.9,0.4,3,1.0,3.3198056670213565
553,261.0,Chris,Richards,2,4.4,2.4,2,1.0,3.255091668601071
555,302.0,Idrissa Gana,Gueye,3,5.4,0.1,3,1.0,3.248700209691997
655,603.0,El Hadji Malick,Diouf,2,4.1,2.8,3,1.0,3.2402951786103222
396,77.0,James,Hill,2,4.2,6.4,3,1.0,3.233033309977406
678,37.0,Lucas,Digne,2,4.5,1.6,2,1.0,3.2313509692539557
192,817.0,Adam,Armstrong,4,5.2,0.1,3,1.0,3.224085163486892
352,178.0,Danny,Welbeck,4,6.3,7.2,3,1.0,3.1967686338172627
518,341.0,Karl,Darlow,1,3.9,4.3,3,1.0,3.193295259732988
371,452.0,Amad,Diallo,3,6.2,1.4,3,1.0,3.172001579842561
612,83.0,Dango,Ouattara,3,5.9,2.4,3,1.0,3.1515841954328616
587,107.0,Keane,Lewis-Potter,2,4.8,1.6,3,1.0,3.1401271167988827
50,20.0,Leandro,Trossard,3,6.5,0.8,5,1.0,3.118068899989352
604,733.0,Senne,Lammens,1,5.1,3.4,3,1.0,3.110359536027229
217,475.0,Sven,Botman,2,4.9,0.4,3,1.0,3.1059046388502813
398,106.0,Nathan,Collins,2,4.9,2.7,3,1.0,3.097585185446611
285,52.0,Jacob,Ramsey,3,5.3,0.2,3,1.0,3.0679610648165356
460,139.0,Bart,Verbruggen,1,4.5,7.0,3,1.0,3.0667368278276426
391,807.0,Rayan Vitor,Simplício Rocha,3,5.5,1.4,3,1.0,3.06281833402128
393,815.0,Axel,Disasi,2,4.5,0.2,3,1.0,3.062363412999667
793,342.0,Jayden,Bogle,2,4.4,0.6,1,1.0,3.0520538223164655
376,551.0,Chris,Rigg,3,4.7,0.1,4,1.0,3.026149880233086
23,382.0,Florian,Wirtz,3,8.3,9.2,3,1.0,3.0211519407475875
412,300.0,Dwight,McNeil,3,5.5,0.2,3,1.0,3.0185357048664323
715,660.0,Anton,Stach,3,4.8,1.6,1,1.0,3.00625287669488
635,343.0,Pascal,Struijk,2,4.3,1.7,3,1.0,2.996538554497683
810,597.0,Richarlison,de Andrade,4,6.3,5.7,3,1.0,2.990948460056106
697,292.0,Vitalii,Mykolenko,2,4.9,0.7,3,1.0,2.988158541100782
544,67.0,Đorđe,Petrović,1,4.6,5.1,3,1.0,2.986597789368115
688,200.0,Jaidon,Anthony,3,5.0,1.9,4,1.0,2.9811003640530513
386,720.0,Tolu,Arokodare,4,5.2,0.1,3,1.0,2.974890405729778
591,169.0,Diego,Gómez Amarilla,3,4.9,0.7,3,1.0,2.965657427828722
324,532.0,Trai,Hume,2,4.5,0.4,4,1.0,2.956833569147061
216,473.0,Lewis,Hall,2,5.4,3.8,3,1.0,2.942026792298992
608,36.0,Matty,Cash,2,4.7,8.4,2,1.0,2.938077991462346
265,591.0,Archie,Gray,3,4.8,0.2,3,1.0,2.9370158986143013
187,708.0,Mateus Gonçalo,Espanha Fernandes,3,5.5,0.4,3,1.0,2.9330516792433277
642,417.0,Rayan,Cherki,3,6.4,9.7,2,1.0,2.9307420885164213
501,87.0,Ryan,Christie,3,4.9,0.1,2,1.0,2.9233971471782523
275,785.0,Pablo Felipe,Pereira de Jesus,4,5.4,0.0,3,1.0,2.9222586414914513
302,273.0,Adam,Wharton,3,5.0,0.6,2,1.0,2.916561854058873
619,166.0,Yasin,Ayari,3,4.8,0.4,2,1.0,2.914022317578362
768,736.0,Gianluigi,Donnarumma,1,5.6,9.1,2,1.0,2.9117997846152672
722,242.0,Kiernan,Dewsbury-Hall,3,5.1,5.9,3,1.0,2.901870608726392
712,613.0,Tomáš,Souček,3,5.7,0.3,3,1.0,2.888064697627595
68,384.0,Cody,Gakpo,3,7.3,6.1,3,1.0,2.8808566661609065
131,407.0,Matheus,Nunes,2,5.3,2.8,4,1.0,2.880051958535361
286,54.0,John,McGinn,3,5.3,0.7,2,1.0,2.873114919708608
596,552.0,Noah,Sadiki,3,4.9,0.1,4,1.0,2.8663009082563735
151,794.0,Max,Alleyne,2,3.9,0.0,2,1.0,2.8564551421451316
766,725.0,Piero,Hincapié,2,5.1,0.8,5,1.0,2.8539088919945064
354,230.0,Wesley,Fofana,2,4.4,0.4,3,1.0,2.8489587650987453
667,636.0,Santiago,Ignacio Bueno,2,4.4,0.1,3,1.0,2.837354823695808
165,324.0,Alex,Iwobi,3,6.3,1.7,3,1.0,2.835371886842929
47,791.0,Valentín,Castellanos,4,5.5,0.3,3,1.0,2.8327177786729596
730,314.0,Bernd,Leno,1,4.9,2.0,3,1.0,2.792651807602118
268,648.0,Marshall,Munetsi,3,5.3,0.0,3,1.0,2.7784992065739544
39,698.0,Noah,Okafor,3,5.5,1.2,3,1.0,2.773906394926818
306,316.0,Antonee,Robinson,2,4.9,0.8,3,1.0,2.7705396109942124
711,573.0,Djed,Spence,2,4.1,0.9,3,1.0,2.7641784083768903
815,679.0,Mads,Hermansen,1,4.2,1.3,3,1.0,2.7639676661749513
32,570.0,Kevin,Danso,2,4.2,0.2,3,1.0,2.7474601449669898
542,50.0,Emiliano,Buendía Stati,3,5.3,0.4,2,1.0,2.744188963753582
369,443.0,Luke,Shaw,2,4.5,1.0,3,1.0,2.7251327560841454
132,409.0,John,Stones,2,5.4,0.6,4,1.0,2.7173272372105375
128,293.0,Jake,O'Brien,2,4.9,0.7,3,1.0,2.715668410022553
541,31.0,Gabriel,Fernando de Jesus,4,6.4,0.3,5,1.0,2.714786377276207
159,129.0,Yehor,Yarmoliuk,3,5.0,0.1,3,1.0,2.707397601179646
610,48.0,Youri,Tielemans,3,5.9,0.6,2,1.0,2.704471629144578
780,217.0,Lyle,Foster,4,4.9,0.8,4,1.0,2.7035019495186527
759,646.0,João Victor,Gomes da Silva,3,5.3,0.4,3,1.0,2.697359118228318
666,614.0,James,Ward-Prowse,3,5.6,0.2,4,1.0,2.688997213586276
267,631.0,Emmanuel,Agbadou,2,4.2,0.1,3,1.0,2.676977395590102
495,26.0,Martín,Zubimendi Ibáñez,3,5.0,3.1,5,1.0,2.66958820917097
313,386.0,Alexis,Mac Allister,3,6.2,2.0,3,1.0,2.6511096977415503
704,390.0,Ryan,Gravenberch,3,5.5,4.2,3,1.0,2.646976411168034
204,253.0,Dean,Henderson,1,5.1,8.0,2,1.0,2.634170893454789
252,271.0,Daichi,Kamada,3,5.0,0.1,2,1.0,2.6306328039382585
735,350.0,Brenden,Aaronson,3,5.4,1.0,1,1.0,2.6221378858657953
140,606.0,Konstantinos,Mavropanos,2,4.5,3.0,3,1.0,2.600890354769706
208,330.0,Sander,Berge,3,4.9,0.1,3,1.0,2.5959979521280414
194,7.0,Riccardo,Calafiori,2,5.6,5.9,5,1.0,2.590384235149161
594,225.0,Reece,James,2,5.6,6.1,3,1.0,2.586846689170571
754,593.0,Pape Matar,Sarr,3,4.5,1.1,3,1.0,2.5793763511461303
706,476.0,Dan,Burn,2,5.0,3.4,3,1.0,2.5647298299174
707,488.0,Bruno,Guimarães Rodriguez Moura,3,6.8,4.4,3,1.0,2.547082740779429
110,38.0,Ezri,Konsa Ngoyo,2,4.4,7.8,2,1.0,2.544531566070897
549,192.0,Quilindschy,Hartman,2,4.0,0.6,4,1.0,2.5432997265406065
816,686.0,Rio,Ngumoha,3,4.3,1.1,3,1.0,2.5339600160718976
237,55.0,Ross,Barkley,3,4.8,0.1,2,1.0,2.5267437864879376
538,17.0,Martin,Ødegaard,3,7.8,1.6,5,1.0,2.514659772303437
747,490.0,Joelinton Cássio,Apolinário de Lira,3,5.9,0.3,3,1.0,2.507472172014569
38,684.0,Malick,Thiaw,2,5.1,5.8,3,1.0,2.4867593346556425
523,427.0,Tijjani,Reijnders,3,5.0,9.1,4,1.0,2.484373386882212
702,318.0,Calvin,Bassey,2,4.4,0.7,3,1.0,2.4626326034049884
143,654.0,Jørgen,Strand Larsen,4,5.9,1.5,2,1.0,2.45767186082957
566,553.0,Chemsdine,Talbi,3,4.9,0.2,4,1.0,2.4540703453243373
98,712.0,Yéremy,Pino Santos,3,5.8,0.2,2,1.0,2.4530710564157685
357,304.0,Tim,Iroegbunam,3,4.8,0.0,3,1.0,2.446030778071672
9,111.0,Ethan,Pinnock,2,4.2,0.1,3,1.0,2.4169284110529086
552,236.0,Pedro,Lomba Neto,3,7.0,4.3,3,1.0,2.4144180023229143
714,634.0,Yerson,Mosquera Valdelamar,2,4.3,0.1,3,1.0,2.412179868372876
385,709.0,Ladislav,Krejcí,2,4.5,0.1,3,1.0,2.4087000827533687
599,628.0,José,Malheiro de Sá,1,4.2,1.2,3,1.0,2.4025492045213968
334,681.0,Benjamin,Sesko,4,7.3,6.2,3,1.0,2.397083031077512
483,674.0,Aaron,Ramsdale,1,4.8,0.8,3,1.0,2.393919283349744
761,693.0,Omari,Hutchinson,3,5.4,0.1,1,1.0,2.38058960682799
598,627.0,Sam,Johnstone,1,4.4,0.1,3,1.0,2.3705189528097264
736,358.0,Tanaka,Ao,3,4.8,0.2,1,1.0,2.368193969928093
539,18.0,Noni,Madueke,3,6.8,0.8,5,1.0,2.366472871302621
532,719.0,Victor,Lindelöf,2,4.5,0.1,2,1.0,2.3588320156175673
214,442.0,Harry,Maguire,2,4.4,1.4,3,1.0,2.353809271679318
127,276.0,Justin,Devenny,3,4.3,1.1,2,1.0,2.3536505191315307
432,584.0,Mathys,Tel,3,6.2,0.1,3,1.0,2.3471603327752795
377,580.0,Brennan,Johnson,3,6.5,2.3,2,1.0,2.3436868667837265
521,370.0,Jeremie,Frimpong,2,5.7,5.2,3,1.0,2.3436435700403533
473,440.0,Diogo,Dalot Teixeira,2,4.6,4.6,3,1.0,2.3365047764045777
420,418.0,Jérémy,Doku,3,6.4,2.5,4,1.0,2.3342085126855974
676,22.0,Mikel,Merino Zazón,3,5.4,0.8,5,1.0,2.332785202416864
164,266.0,Eberechi,Eze,3,7.2,8.0,5,1.0,2.321276000740179
0,19.0,Gabriel,Martinelli Silva,3,6.8,0.9,5,1.0,2.321261806442103
560,413.0,Omar,Marmoush,3,8.3,2.5,2,1.0,2.31561344891537
328,547.0,Enzo,Le Fée,3,4.8,1.5,4,1.0,2.3114843799186735
314,388.0,Curtis,Jones,3,5.4,0.1,3,1.0,2.308340054990073
767,726.0,Randal,Kolo Muani,4,6.9,0.4,3,1.0,2.3061991449727572
323,527.0,Taiwo,Awoniyi,4,5.2,0.3,1,1.0,2.3015120798816135
703,338.0,Rodrigo,Muniz Carvalho,4,5.3,0.7,3,1.0,2.299989110105737
745,477.0,Tino,Livramento,2,4.9,1.9,3,1.0,2.2999148013854804
436,668.0,Granit,Xhaka,3,5.1,3.3,4,1.0,2.299680930601182
16,244.0,Roméo,Lavia,3,4.9,0.0,3,1.0,2.275622242739793
2,33.0,Marco,Bizot,1,4.2,0.4,2,1.0,2.2740665557777633
792,335.0,Josh,King,3,4.4,1.8,3,1.0,2.2731750226245278
424,458.0,Kobbie,Mainoo,3,4.7,1.0,3,1.0,2.2731710119639015
414,365.0,Lukas,Nmecha,4,5.0,0.6,3,1.0,2.2731153781894844
803,494.0,Joe,Willock,3,5.0,0.1,3,1.0,2.2683264229180007
500,81.0,Justin,Kluivert,3,6.9,0.6,3,1.0,2.267482994382452
209,348.0,Joe,Rodon,2,3.9,2.9,3,1.0,2.266987416829428
280,16.0,Bukayo,Saka,3,9.8,7.0,5,1.0,2.260965594614649
441,717.0,Xavi,Simons,3,6.5,3.3,3,1.0,2.2345972362163473
350,146.0,Lewis,Dunk,2,4.5,0.9,3,1.0,2.229129887078682
463,218.0,Ashley,Barnes,4,4.2,1.3,4,1.0,2.2203202825116373
148,694.0,Nordi,Mukiele,2,4.6,9.6,4,1.0,2.2187253712283086
592,191.0,Maxime,Estève,2,3.9,7.0,3,1.0,2.2121392751006317
563,487.0,Harvey,Barnes,3,6.1,1.1,3,1.0,2.211409226196545
317,424.0,Oscar,Bobb,3,5.1,0.2,3,1.0,2.198158619763913
657,643.0,André,Trindade da Costa Neto,3,5.2,0.1,3,1.0,2.1915399390231083
80,525.0,Chris,Wood,4,7.1,4.6,1,1.0,2.1792772246517815
206,284.0,Eddie,Nketiah,4,5.4,0.3,2,1.0,2.1782703315511074
