,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
448,508.0,Neco,Williams,2,4.8,4.9,1,1.0,6.517067325147211
360,136.0,Igor Thiago,Nascimento Rodrigues,4,7.4,35.4,3,1.0,5.379205713917651
542,47.0,Morgan,Rogers,3,7.4,24.9,2,1.0,4.389317910995577
335,449.0,Bruno,Borges Fernandes,3,10.3,46.7,3,1.0,4.383136525092866
473,59.0,Amadou,Onana,3,4.8,0.7,2,1.0,4.309405406849221
52,505.0,Nikola,Milenković,2,5.1,3.4,1,1.0,4.265749818880477
269,521.0,Ibrahim,Sangaré,3,4.9,0.1,1,1.0,4.208437928666537
458,517.0,Elliot,Anderson,3,5.6,7.3,1,1.0,4.16467071563289
268,507.0,Ola,Aina,2,4.7,2.4,1,1.0,4.151167424542714
569,624.0,Jarrod,Bowen,4,7.7,15.8,3,1.0,4.098167119839377
555,387.0,Dominik,Szoboszlai,3,7.1,13.7,3,1.0,4.050429415192146
491,502.0,Matz,Sels,1,4.6,5.0,1,1.0,4.015458504100689
17,506.0,Murillo,Costa dos Santos,2,5.2,2.0,1,1.0,4.009861174639499
331,283.0,Jean-Philippe,Mateta,4,7.6,7.5,2,1.0,3.909620189397146
163,526.0,Igor Jesus,Maciel da Cruz,4,5.8,1.7,1,1.0,3.849135520764436
126,515.0,Morgan,Gibbs-White,3,7.5,9.8,1,1.0,3.8448759991622627
291,110.0,Michael,Kayode,2,4.6,1.2,3,1.0,3.812523668785021
414,126.0,Mathias,Jensen,3,4.9,0.1,3,1.0,3.7990079846371856
55,516.0,Callum,Hudson-Odoi,3,5.7,0.7,1,1.0,3.794154842497976
10,311.0,Norberto Bercique,Gomes Betuncal,4,5.0,3.6,3,1.0,3.7789278521701344
395,544.0,Habib,Diarra,3,5.3,0.1,4,1.0,3.7250603370141238
566,596.0,Dominic,Solanke-Mitchell,4,7.2,2.7,3,1.0,3.7194347940346986
519,485.0,Anthony,Gordon,3,7.4,5.9,3,1.0,3.6840916176270464
42,267.0,Ismaïla,Sarr,3,6.3,3.8,2,1.0,3.67951300343638
44,329.0,Harry,Wilson,3,6.0,22.5,3,1.0,3.6624727151985836
422,730.0,Brian,Brobbey,4,5.3,1.3,4,1.0,3.641781174977866
138,683.0,Omar,Alderete,2,4.1,6.0,4,1.0,3.6360159393914073
94,317.0,Joachim,Andersen,2,4.5,4.7,3,1.0,3.600238068384682
546,257.0,Maxence,Lacroix,2,5.1,5.2,2,1.0,3.563169829624207
49,444.0,Leny,Yoro,2,4.1,1.3,3,1.0,3.554506609616189
276,633.0,Hugo,Bueno López,2,4.3,0.2,3,1.0,3.5520281633438833
253,256.0,Daniel,Muñoz Mejía,2,5.8,7.7,2,1.0,3.527277974820754
481,303.0,James,Garner,3,5.3,4.3,3,1.0,3.490552600814191
432,120.0,Kevin,Schade,3,7.0,1.7,3,1.0,3.4851504675826295
544,113.0,Sepp,van den Berg,2,4.6,1.3,3,1.0,3.47211066813628
552,299.0,Iliman,Ndiaye,3,6.2,5.0,3,1.0,3.4601842751005094
521,500.0,William,Osula,4,5.4,0.5,3,1.0,3.45665116682896
153,295.0,Michael,Keane,2,4.5,2.9,3,1.0,3.4529921209653933
515,450.0,Matheus,Santos Carneiro da Cunha,3,8.0,10.1,3,1.0,3.428446418365862
301,457.0,Carlos Henrique,Casimiro,3,5.7,3.9,3,1.0,3.397251559704749
319,749.0,Mateus,Mané,4,4.3,1.8,3,1.0,3.3604486960516877
151,258.0,Tyrick,Mitchell,2,5.0,2.3,2,1.0,3.3502302365198076
385,261.0,Chris,Richards,2,4.4,2.4,2,1.0,3.255091668601071
387,302.0,Idrissa Gana,Gueye,3,5.4,0.1,3,1.0,3.248700209691997
453,603.0,El Hadji Malick,Diouf,2,4.1,2.8,3,1.0,3.2402951786103222
472,37.0,Lucas,Digne,2,4.5,1.6,2,1.0,3.2313509692539557
12,373.0,Virgil,van Dijk,2,6.2,35.7,3,1.0,3.224504598472514
142,817.0,Adam,Armstrong,4,5.2,0.1,3,1.0,3.224085163486892
381,21.0,Declan,Rice,3,7.2,24.8,5,1.0,3.2231583725047366
266,452.0,Amad,Diallo,3,6.2,1.4,3,1.0,3.172001579842561
100,568.0,Pedro,Porro Sauceda,2,5.1,12.3,3,1.0,3.1618363130610394
429,83.0,Dango,Ouattara,3,5.9,2.4,3,1.0,3.1515841954328616
412,107.0,Keane,Lewis-Potter,2,4.8,1.6,3,1.0,3.1401271167988827
36,20.0,Leandro,Trossard,3,6.5,0.8,5,1.0,3.118068899989352
423,733.0,Senne,Lammens,1,5.1,3.4,3,1.0,3.110359536027229
145,8.0,Jurriën,Timber,2,6.1,20.5,5,1.0,3.1078998336693204
160,475.0,Sven,Botman,2,4.9,0.4,3,1.0,3.1059046388502813
290,106.0,Nathan,Collins,2,4.9,2.7,3,1.0,3.097585185446611
210,52.0,Jacob,Ramsey,3,5.3,0.2,3,1.0,3.0679610648165356
287,815.0,Axel,Disasi,2,4.5,0.2,3,1.0,3.062363412999667
292,119.0,Bryan,Mbeumo,3,8.5,17.8,3,1.0,3.0469082705785855
5,64.0,Ollie,Watkins,4,8.7,16.3,2,1.0,3.0369463333702016
271,551.0,Chris,Rigg,3,4.7,0.1,4,1.0,3.026149880233086
13,382.0,Florian,Wirtz,3,8.3,9.2,3,1.0,3.0211519407475875
143,5.0,Gabriel,dos Santos Magalhães,2,7.1,44.0,5,1.0,3.019309829334002
295,300.0,Dwight,McNeil,3,5.5,0.2,3,1.0,3.0185357048664323
567,597.0,Richarlison,de Andrade,4,6.3,5.7,3,1.0,2.990948460056106
479,292.0,Vitalii,Mykolenko,2,4.9,0.7,3,1.0,2.988158541100782
281,720.0,Tolu,Arokodare,4,5.2,0.1,3,1.0,2.974890405729778
232,532.0,Trai,Hume,2,4.5,0.4,4,1.0,2.956833569147061
159,473.0,Lewis,Hall,2,5.4,3.8,3,1.0,2.942026792298992
426,36.0,Matty,Cash,2,4.7,8.4,2,1.0,2.938077991462346
192,591.0,Archie,Gray,3,4.8,0.2,3,1.0,2.9370158986143013
140,708.0,Mateus Gonçalo,Espanha Fernandes,3,5.5,0.4,3,1.0,2.9330516792433277
200,785.0,Pablo Felipe,Pereira de Jesus,4,5.4,0.0,3,1.0,2.9222586414914513
215,273.0,Adam,Wharton,3,5.0,0.6,2,1.0,2.916561854058873
502,242.0,Kiernan,Dewsbury-Hall,3,5.1,5.9,3,1.0,2.901870608726392
494,613.0,Tomáš,Souček,3,5.7,0.3,3,1.0,2.888064697627595
46,384.0,Cody,Gakpo,3,7.3,6.1,3,1.0,2.8808566661609065
211,54.0,John,McGinn,3,5.3,0.7,2,1.0,2.873114919708608
415,552.0,Noah,Sadiki,3,4.9,0.1,4,1.0,2.8663009082563735
537,725.0,Piero,Hincapié,2,5.1,0.8,5,1.0,2.8539088919945064
109,666.0,Viktor,Gyökeres,4,8.8,12.4,5,1.0,2.844312881388781
464,636.0,Santiago,Ignacio Bueno,2,4.4,0.1,3,1.0,2.837354823695808
121,324.0,Alex,Iwobi,3,6.3,1.7,3,1.0,2.835371886842929
34,791.0,Valentín,Castellanos,4,5.5,0.3,3,1.0,2.8327177786729596
213,101.0,Caoimhín,Kelleher,1,4.8,12.6,3,1.0,2.816108372895515
425,1.0,David,Raya Martín,1,6.0,35.2,5,1.0,2.7993322586336964
510,314.0,Bernd,Leno,1,4.9,2.0,3,1.0,2.792651807602118
195,648.0,Marshall,Munetsi,3,5.3,0.0,3,1.0,2.7784992065739544
219,316.0,Antonee,Robinson,2,4.9,0.8,3,1.0,2.7705396109942124
493,573.0,Djed,Spence,2,4.1,0.9,3,1.0,2.7641784083768903
572,679.0,Mads,Hermansen,1,4.2,1.3,3,1.0,2.7639676661749513
21,570.0,Kevin,Danso,2,4.2,0.2,3,1.0,2.7474601449669898
383,50.0,Emiliano,Buendía Stati,3,5.3,0.4,2,1.0,2.744188963753582
264,443.0,Luke,Shaw,2,4.5,1.0,3,1.0,2.7251327560841454
93,293.0,Jake,O'Brien,2,4.9,0.7,3,1.0,2.715668410022553
382,31.0,Gabriel,Fernando de Jesus,4,6.4,0.3,5,1.0,2.714786377276207
119,129.0,Yehor,Yarmoliuk,3,5.0,0.1,3,1.0,2.707397601179646
428,48.0,Youri,Tielemans,3,5.9,0.6,2,1.0,2.704471629144578
532,646.0,João Victor,Gomes da Silva,3,5.3,0.4,3,1.0,2.697359118228318
156,381.0,Mohamed,Salah,3,14.0,17.1,3,1.0,2.6836088388857107
194,631.0,Emmanuel,Agbadou,2,4.2,0.1,3,1.0,2.676977395590102
353,26.0,Martín,Zubimendi Ibáñez,3,5.0,3.1,5,1.0,2.66958820917097
223,386.0,Alexis,Mac Allister,3,6.2,2.0,3,1.0,2.6511096977415503
486,390.0,Ryan,Gravenberch,3,5.5,4.2,3,1.0,2.646976411168034
150,253.0,Dean,Henderson,1,5.1,8.0,2,1.0,2.634170893454789
181,271.0,Daichi,Kamada,3,5.0,0.1,2,1.0,2.6306328039382585
550,287.0,Jordan,Pickford,1,5.6,13.9,3,1.0,2.6200381111532436
103,606.0,Konstantinos,Mavropanos,2,4.5,3.0,3,1.0,2.600890354769706
154,330.0,Sander,Berge,3,4.9,0.1,3,1.0,2.5959979521280414
144,7.0,Riccardo,Calafiori,2,5.6,5.9,5,1.0,2.590384235149161
527,593.0,Pape Matar,Sarr,3,4.5,1.1,3,1.0,2.5793763511461303
488,476.0,Dan,Burn,2,5.0,3.4,3,1.0,2.5647298299174
489,488.0,Bruno,Guimarães Rodriguez Moura,3,6.8,4.4,3,1.0,2.547082740779429
84,38.0,Ezri,Konsa Ngoyo,2,4.4,7.8,2,1.0,2.544531566070897
