,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
55,358.0,Tanaka,Ao,3,4.8,0.2,100.0,1,5.716604742786318
73,698.0,Noah,Okafor,3,5.6,2.5,75.0,1,5.715609800467551
161,706.0,James,Justin,2,3.9,2.0,100.0,1,5.457514261305626
240,354.0,Ethan,Ampadu,3,4.9,0.6,100.0,1,5.339252134734016
88,343.0,Pascal,Struijk,2,4.3,3.2,100.0,1,5.176165377424677
26,237.0,Enzo,Fernández,3,6.5,11.3,100.0,3,5.154617228185433
52,344.0,Jaka,Bijol,2,3.9,1.1,75.0,1,5.1439209332055755
633,449.0,Bruno,Borges Fernandes,3,10.4,47.1,100.0,3,5.076842702146098
489,136.0,Igor Thiago,Nascimento Rodrigues,4,7.4,35.2,100.0,2,5.045123222243844
59,691.0,Dominic,Calvert-Lewin,4,5.7,12.8,100.0,1,5.018719542128019
113,430.0,Erling,Haaland,4,14.6,60.8,100.0,3,4.862871077710014
239,342.0,Jayden,Bogle,2,4.4,0.7,100.0,1,4.838071457804763
41,235.0,Cole,Palmer,3,10.5,16.3,100.0,3,4.785283504757583
782,113.0,Sepp,van den Berg,2,4.5,1.2,100.0,2,4.74824938342653
203,100.0,Junior,Kroupi,4,4.6,5.7,100.0,3,4.633291549747361
94,417.0,Rayan,Cherki,3,6.5,14.4,100.0,3,4.49469768210066
38,178.0,Danny,Welbeck,4,6.3,7.7,100.0,3,4.3922856584967365
406,64.0,Ollie,Watkins,4,8.8,15.6,100.0,3,4.355206881414233
288,101.0,Caoimhín,Kelleher,1,4.8,12.6,100.0,2,4.326162874597657
503,517.0,Elliot,Anderson,3,5.6,7.3,100.0,3,4.175833853363762
377,450.0,Matheus,Santos Carneiro da Cunha,3,8.1,8.1,75.0,3,4.1739603541026815
226,416.0,Bernardo,Mota Veiga de Carvalho e Silva,3,6.2,0.6,100.0,3,4.09266546472055
313,552.0,Noah,Sadiki,3,4.9,0.1,100.0,2,4.040557389859331
173,411.0,Nico,O'Reilly,2,5.2,17.2,100.0,3,4.035204822431292
706,666.0,Viktor,Gyökeres,4,8.8,12.1,100.0,3,3.9983043779625795
144,90.0,Alex,Scott,3,5.1,2.5,100.0,3,3.98917004519463
482,26.0,Martín,Zubimendi Ibáñez,3,5.0,3.1,100.0,3,3.9620078228182285
205,163.0,Jack,Hinshelwood,3,5.1,0.5,100.0,3,3.916735450449154
445,120.0,Kevin,Schade,3,6.9,1.7,100.0,2,3.907155204082285
784,257.0,Maxence,Lacroix,2,5.1,5.9,100.0,4,3.87146465364932
